from,to,ref,value,quality,parameter_id,station_id,date
1707091201000.0,1707177600000.0,2024-02-05,-1.7,Y,2,97200,
1707177601000.0,1707264000000.0,2024-02-06,-5.7,Y,2,97200,
1707264001000.0,1707350400000.0,2024-02-07,-4.3,Y,2,97200,
1707350401000.0,1707436800000.0,2024-02-08,-4.4,Y,2,97200,
1707436801000.0,1707523200000.0,2024-02-09,-4.7,Y,2,97200,
1707523201000.0,1707609600000.0,2024-02-10,-5.2,Y,2,97200,
1707609601000.0,1707696000000.0,2024-02-11,-3.6,Y,2,97200,
1707696001000.0,1707782400000.0,2024-02-12,-3.2,Y,2,97200,
1707782401000.0,1707868800000.0,2024-02-13,-0.3,Y,2,97200,
1707868801000.0,1707955200000.0,2024-02-14,-0.9,Y,2,97200,
1707955201000.0,1708041600000.0,2024-02-15,1.2,Y,2,97200,
1708041601000.0,1708128000000.0,2024-02-16,4.0,Y,2,97200,
1708128001000.0,1708214400000.0,2024-02-17,1.4,Y,2,97200,
1708214401000.0,1708300800000.0,2024-02-18,-1.8,Y,2,97200,
1708300801000.0,1708387200000.0,2024-02-19,1.0,Y,2,97200,
1708387201000.0,1708473600000.0,2024-02-20,-0.1,Y,2,97200,
1708473601000.0,1708560000000.0,2024-02-21,2.6,Y,2,97200,
1708560001000.0,1708646400000.0,2024-02-22,3.1,Y,2,97200,
1708646401000.0,1708732800000.0,2024-02-23,5.4,Y,2,97200,
1708732801000.0,1708819200000.0,2024-02-24,3.2,Y,2,97200,
1708819201000.0,1708905600000.0,2024-02-25,3.3,Y,2,97200,
1708905601000.0,1708992000000.0,2024-02-26,2.3,Y,2,97200,
1708992001000.0,1709078400000.0,2024-02-27,1.7,Y,2,97200,
1709078401000.0,1709164800000.0,2024-02-28,1.9,Y,2,97200,
1709164801000.0,1709251200000.0,2024-02-29,3.5,Y,2,97200,
1709251201000.0,1709337600000.0,2024-03-01,3.5,Y,2,97200,
1709337601000.0,1709424000000.0,2024-03-02,3.6,Y,2,97200,
1709424001000.0,1709510400000.0,2024-03-03,3.3,Y,2,97200,
1709510401000.0,1709596800000.0,2024-03-04,0.7,Y,2,97200,
1709596801000.0,1709683200000.0,2024-03-05,0.8,Y,2,97200,
1709683201000.0,1709769600000.0,2024-03-06,0.2,Y,2,97200,
1709769601000.0,1709856000000.0,2024-03-07,-0.4,Y,2,97200,
1709856001000.0,1709942400000.0,2024-03-08,-0.1,Y,2,97200,
1709942401000.0,1710028800000.0,2024-03-09,-1.3,Y,2,97200,
1710028801000.0,1710115200000.0,2024-03-10,-0.2,Y,2,97200,
1710115201000.0,1710201600000.0,2024-03-11,0.5,Y,2,97200,
1710201601000.0,1710288000000.0,2024-03-12,0.7,Y,2,97200,
1710288001000.0,1710374400000.0,2024-03-13,2.3,Y,2,97200,
,,,3.0,G,4,97200,1699146000000.0
,,,4.0,G,4,97200,1699149600000.0
,,,2.0,G,4,97200,1699153200000.0
,,,3.0,G,4,97200,1699156800000.0
,,,1.0,G,4,97200,1699160400000.0
,,,3.0,G,4,97200,1699164000000.0
,,,3.0,G,4,97200,1699167600000.0
,,,2.0,G,4,97200,1699171200000.0
,,,3.0,G,4,97200,1699174800000.0
,,,4.0,G,4,97200,1699178400000.0
,,,5.0,G,4,97200,1699182000000.0
,,,4.0,G,4,97200,1699185600000.0
,,,4.0,G,4,97200,1699189200000.0
,,,4.0,G,4,97200,1699192800000.0
,,,4.0,G,4,97200,1699196400000.0
,,,4.0,G,4,97200,1699200000000.0
,,,3.0,G,4,97200,1699203600000.0
,,,4.0,G,4,97200,1699207200000.0
,,,3.0,G,4,97200,1699210800000.0
,,,3.0,G,4,97200,1699214400000.0
,,,2.0,G,4,97200,1699218000000.0
,,,2.0,G,4,97200,1699221600000.0
,,,2.0,G,4,97200,1699225200000.0
,,,2.0,G,4,97200,1699228800000.0
,,,1.0,G,4,97200,1699232400000.0
,,,2.0,G,4,97200,1699236000000.0
,,,2.0,G,4,97200,1699239600000.0
,,,2.0,G,4,97200,1699243200000.0
,,,1.0,G,4,97200,1699246800000.0
,,,2.0,G,4,97200,1699250400000.0
